Galeniaceae = Aizoaceae = Caryophyllales
Galiaceae = Rubiaceae = Gentianales
Garciniaceae = Clusiaceae = Malpighiales
Gardeniaceae = Rubiaceae = Gentianales
Gardneriaceae = Loganiaceae = Gentianales
Garryaceae = Garryales
Geissolomataceae = Crossosomatales
Geitonoplesiaceae = Asphodelaceae = Asparagales
Gelsemiaceae = Gentianales
Geniostomataceae = Loganiaceae = Gentianales
Gentianaceae = Gentianales
Geoffroeaceae = Fabaceae = Fabales
Geonomataceae = Arecaceae = Arecales
Geosiridaceae = Iridaceae = Asparagales
Geraniaceae = Geraniales
Gerrardinaceae = Huerteales
Gesneriaceae = Lamiales
Gethyllidaceae = Amaryllidaceae = Asparagales
Gilliesiaceae = Amaryllidaceae = Asparagales
Ginalloaceae = Santalaceae = Santalales
Ginkgoaceae = Ginkgoales
Gisekiaceae = Caryophyllales
